,tweet_text,label
20,"RT @LeftistMoniker: I don’t know anything about corporate retail upper level management, I have no idea if garbage Black Friday numbers wil…",negative
21,"This was another character I really liked. I sold her too as a ""black friday sale"" a couple years back. This was ar… https://t.co/1Gm42DhyMc",positive
22,RT @Tee025s: Man Utd Black Friday Sale 😂🤣😂 https://t.co/xIgJ6O2tj2,positive
23,"RT @LeftistMoniker: Well, it worked. Black Friday sales were so abysmal, multiple retailers are looking at potential bankruptcy. It also…",negative
24,black friday 😃 https://t.co/w86mywLkT8,positive
25,eu na Black friday da shopee https://t.co/bpbU7FRwVA,positive
26,RT @ShopifyEng: 2021 was our biggest Black Friday Cyber Monday ever! Together with our friends at @GoogleCloud we achieved near-perfect upt…,positive
27,RT @GameSpot: 🏆 Xbox Series S was the best-selling console on Black Friday! https://t.co/FcHnTe1zZU https://t.co/hRpNNn7Mtz,positive
28,"RT @LeftistMoniker: Well, it worked. Black Friday sales were so abysmal, multiple retailers are looking at potential bankruptcy. It also…",negative
29,RT @ShopifyEng: 2021 was our biggest Black Friday Cyber Monday ever! Together with our friends at @GoogleCloud we achieved near-perfect upt…,positive
30,"RT @laurenboebert: On Black Friday, there were 187,585 background checks conducted for firearm purchases in America.
 
 Brandon is giving Oba…",
31,Black Friday thru Cyber Monday emails have finally given me the push I needed to FUCKING UNSUBSCRIBE.,negative
32,"RT @laurenboebert: On Black Friday, there were 187,585 background checks conducted for firearm purchases in America.
 
 Brandon is giving Oba…",
33,"Sean and Nick reunite for a cozy show about #Xbox Games of the year, #GamePass and what's happening there, and… https://t.co/Mh52OV77Sc",positive
34,RT @ShopifyEng: 2021 was our biggest Black Friday Cyber Monday ever! Together with our friends at @GoogleCloud we achieved near-perfect upt…,positive
35,"Going to be live in about 45 minutes, continuing my first playthrough of Assassin's Creed: Syndicate. Will check ou… https://t.co/40IcrfKtlp",positive
36,"RT @LeftistMoniker: Well, it worked. Black Friday sales were so abysmal, multiple retailers are looking at potential bankruptcy. It also…",negative
37,"RT @LeftistMoniker: Well, it worked. Black Friday sales were so abysmal, multiple retailers are looking at potential bankruptcy. It also…",negative
38,"@David_Tracey @newjez @FinanceLancelot People are already spending less. Black Friday sales were awful, online sale… https://t.co/Gr5OUFn4vf",negative
39,"RT @FragranceDirect: FOLLOW, LIKE &amp; RT TO WIN! 🎾 LACOSTE GIVEAWAY 🎾 While you're whizzing away shopping the best Black Friday has to offer,…",positive
40,Our Black Friday Sale is still Going. Get Started! - https://t.co/cjRtddRwnq https://t.co/R7OCy7TdP6,positive
41,"@SouConVo_ @LeftistMoniker Yeah, okay, don't care about Black Friday talk anymore.
 
 Tell me how two people can have… https://t.co/tk0RQvKsV9",
42,"RT @ToyStreetUK: BLACK FRIDAY COMPETITION🙌
 
 To be in with a chance of winning a £50 voucher to spend online with us, simply:
 💕 Like this po…",positive
43,RT @Fangamer: Our holiday sale ends tonight! It's your last chance to get free US or discounted worldwide shipping and add to your bonus gi…,positive
44,"@zerohedge @ElectionWiz what did they expect, when black friday sales started over a month ago...lol",positive
45,"RT @workoutforless: Don't forget to enter our #giveaway to #win a fab #boxing bundle-a pair of black &amp; white #Reebok boxing gloves, a Reebo…",positive
46,"RT @cryptoWZRD_: 🚨 GIVEAWAY: WIN 5,000 $XRP 🚨 
 
 FOR A CHANCE TO WIN: 
 
 1️⃣ FOLLOW @cryptoWZRD_ 
 2️⃣ LIKE THIS TWEET 
 3️⃣ RETWEET THIS TWEET…",positive
47,"$XKI held its position pretty well during the black friday sales we all experienced few days ago.
 With this partner… https://t.co/BuhBJWFehY",positive
48,"RT @faderhead: The first single ""All Black Everything"" from my upcoming album is coming out this Friday, Dec 3rd on all platforms, along wi…",positive
49,"RT @LeftistMoniker: Well, it worked. Black Friday sales were so abysmal, multiple retailers are looking at potential bankruptcy. It also…",negative
50,RT @Fangamer: Our holiday sale ends tonight! It's your last chance to get free US or discounted worldwide shipping and add to your bonus gi…,positive
51,"RT @PkmnMasterHolly: No one: ...
 Pokémon fans after Black Friday/ Cyber Monday: YES MORE SHINY CARDBOARD TO OPEN AND HOLD ONTO UNTIL I DIE!…",positive
52,"RT @LeftistMoniker: Well, it worked. Black Friday sales were so abysmal, multiple retailers are looking at potential bankruptcy. It also…",negative
53,RT @RatedIman: Thanks everybody for participating in my Black Friday sale. Whether you reposted or purchased your support is greatly apprec…,positive
54,RT @AdelaideTimbrel: Had a chat with @BUSINESSricardo on @SBSNews last night about the success of Black Friday sales. Don't be fooled by th…,negative
55,"RT @LeftistMoniker: I don’t know anything about corporate retail upper level management, I have no idea if garbage Black Friday numbers wil…",negative
56,@absolonstavig my checking account literally went to the negatives during black friday,negative
57,Black Friday haul 🛍 @amazon @Splendies @knixwear @Sephora https://t.co/p39HsTcw6t,positive
58,@gang_abe0 Technically I still work at Target but I only worked Black Friday 💀 and I don’t think ima go back in December,negative
59,RT @TimothyDooner: In this issue of the WHAT THE TRUCK?!? presented by @convoyteam: trucking market as we enter December; how'd Black Frida…,positive
60,RT @ShopifyEng: 2021 was our biggest Black Friday Cyber Monday ever! Together with our friends at @GoogleCloud we achieved near-perfect upt…,positive
61,@PlanetTyrus Since it was Black Friday... shouldn't you have gotten to host @Gutfeldfox that night? 😉,positive
62,"Well, that was 5 days of Black Friday and I'm officially cancelling it for next year and 2023 as well.",negative
63,RT @TimothyDooner: In this issue of the WHAT THE TRUCK?!? presented by @convoyteam: trucking market as we enter December; how'd Black Frida…,positive
64,This was me on Black Friday/Cyber Monday 😂 https://t.co/jgl1wL2cWe,negative
65,"@junkyqrdking Ultimate hit DIFFERENT now that I can cloud on console.
 I'm about in the same boat, along with D2 and… https://t.co/2eVnmGS4oy",positive
66,"My main desktop died a few days ago, and my Black Friday laptop purchase is awaiting the appropriate monitor connec… https://t.co/AKuAydYkje",positive
67,"RT @eqifi_finance: 🔥 Just 6 more hours left of the EQX #BlackFriday Giveaway!
 ⏳You still have time to claim your $10 bonus #EQX just for si…",positive
68,"RT @laurenboebert: On Black Friday, there were 187,585 background checks conducted for firearm purchases in America.
 
 Brandon is giving Oba…",positive
69,@plainrocktweets yo this man is going to be broke after black friday and this,negative
70,"RT @TheVenusianLuxe: Just because black friday and cyber monday are over, doesn’t mean the sales are! 
 
 I always have discounts on my websi…",positive
71,"RT @MakarDraws: Since I'm home I thought I set up the new Kamvas 22 Plus I got on Black Friday, thought I break it in with a good catter. h…",positive
72,"RT @cryptoWZRD_: 🚨 GIVEAWAY: WIN 5,000 $XRP 🚨 
 
 FOR A CHANCE TO WIN: 
 
 1️⃣ FOLLOW @cryptoWZRD_ 
 2️⃣ LIKE THIS TWEET 
 3️⃣ RETWEET THIS TWEET…",positive
73,"RT @LeftistMoniker: Well, it worked. Black Friday sales were so abysmal, multiple retailers are looking at potential bankruptcy. It also…",negative
74,"RT @ToeOfCamel13: The Biden Economy - Black Friday Sales Drop 28 Percent from Pre-Pandemic Levels, Cyber Monday Sales Drop First Time in Hi…",negative
75,Why am I still getting black Friday / cyber Monday emails?,negative
76,"RT @PowerGPU: 230k in sales from Friday to Tuesday so far. 
  
 First Black Friday/Cyber Monday weekend with a website proved to be a massive…",positive
77,"RT @LeftistMoniker: Well, it worked. Black Friday sales were so abysmal, multiple retailers are looking at potential bankruptcy. It also…",negative
78,Let’s end Black Friday and Cyber Monday off right. Flash sale!!! All nails are $20 for a short time only 🤸🏾‍♀️🥳… https://t.co/7mVu5XcBIE,positive
79,"RT @LeftistMoniker: Well, it worked. Black Friday sales were so abysmal, multiple retailers are looking at potential bankruptcy. It also…",negative
80,"RT @laurenboebert: On Black Friday, there were 187,585 background checks conducted for firearm purchases in America.
 
 Brandon is giving Oba…",positive
81,Only thing I picked up on Black Friday…now we work. New pick up 😤 https://t.co/vdP56xWVD9,positive
82,@FLEXXeee I was too hype when I saw their Black Friday sale lmao,positive
83,"RT @LeftistMoniker: Well, it worked. Black Friday sales were so abysmal, multiple retailers are looking at potential bankruptcy. It also…",negative
84,"RT @LeftistMoniker: Well, it worked. Black Friday sales were so abysmal, multiple retailers are looking at potential bankruptcy. It also…",negative
85,RT @mountain_goats: black friday...cyber monday...but on dragon tuesday we carry our tribute to the cave in the misty hill. fuck yes dragon…,
86,RT @ShopifyEng: 2021 was our biggest Black Friday Cyber Monday ever! Together with our friends at @GoogleCloud we achieved near-perfect upt…,positive
87,"RT @WIRED: Black Friday and Cyber Monday are over, but there are still discounts left on some of our favorites—for now. Get them while you…",positive
88,"Si ya ni $$ hay, que esperaban? | Black Friday Disappoints, Cyber Monday Sales Fall For The First Time Ever https://t.co/UpTH9w8g29",negative
89,"RT @Lucho_Lachow: 💰 💰 Black Friday 💰 💰 
 
 Last piece for 1 XTZ
 •
 •
 ‘Under The Realm’ https://t.co/kpPx8ZKGeY",positive
90,"RT @bretteldredge: Brett is gifting us with some very special Black Friday deals! 
 Today only, enjoy $5 OFF a premium fan club membership t…",positive
91,"1935 Football Kick | Punter Art Deals - Row One | Shop 6,200 Historic Sports Prints | Metal | Canvas | Wood | NYC… https://t.co/EE8BOQ05Cp",positive
92,"RT @LeftistMoniker: Well, it worked. Black Friday sales were so abysmal, multiple retailers are looking at potential bankruptcy. It also…",negative
93,"RT @notmythirdrodeo: now hiring: someone to open and break down boxes from black friday/cyber monday deliveries
 
 Inquire within",positive
94,"RT @RaoulGMI: Today is the last day to gift yourself knowledge with our Black Friday offer for @RealVision Plus. 
 
 It is exactly what you n…",positive
95,RT @jungwonbear: jungwon cutely flexing the crocs with fur that he bought during black friday 😭 https://t.co/f1aPUAuyeD,positive
96,RT @karent228273931: I don’t hate Christmas….I hate what Christmas has become..it’s not about the presents people! It’s about kindness and…,negative
97,"RT @ToyStreetUK: BLACK FRIDAY COMPETITION🙌
 
 To be in with a chance of winning a £50 voucher to spend online with us, simply:
 💕 Like this po…",positive
98,"RT @laurenboebert: On Black Friday, there were 187,585 background checks conducted for firearm purchases in America.
 
 Brandon is giving Oba…",positive
99,"RT @PartyGuruUS: 🎊NYE EVENT ALERT! 🎉
 
 Join us at @RawhideAZ as @DecadenceAZ returns on December 30 &amp; 31 🔮🎶
 
 Get tix before midnight tonigh…",
100,Snappy Tots is giving away her favorite supplies. I just entered to win and you can too! https://t.co/23iJ5eb6B5,
101,"RT @malec2b: Last day to get all 12 of my games for just $30 in the Itch Black Friday Sale! That's just $2.50 per game!
 
 https://t.co/Niza…",positive
102,"RT @RutgersRivals: Curious about @RutgersRivals premium?! 
 
 Take advantage of the best deal of the year – $20.21 for 12 months &amp; get access…",
103,"RT @mathewchicks: Black Friday Book Bolt Deal🎊
 
 •Done For You Interiors
 •Keywords finder
 •Scale your book cover creation
 •Find profitable n…",positive
104,"@blame804 @LeftistMoniker Seriously, I was watching some wrestling and me and my husband said to each other. So, Bl… https://t.co/L5I0EXroOr",
105,"RT @rhiannaalynnee: 🖤🖤 BLACK FRIDAY SALE 🖤🖤
 
 TODAY-NOV 30TH everything in my shop will be 40% off !!!!!! please check it out &amp; share. it wo…",positive
106,I'm asking @BootsUK - please don't double the price of emergency contraception once your 'Black Friday' deal is ove… https://t.co/iJX00szmmQ,positive
107,RT @Fangamer: Our holiday sale ends tonight! It's your last chance to get free US or discounted worldwide shipping and add to your bonus gi…,positive
108,"RT @zerohedge: Black Friday Disappoints, Cyber Monday Sales Fall For The First Time Ever https://t.co/kDgwevAC7u",negative
109,"Black Friday Book Bolt Deal🎊
 
 •Done For You Interiors
 •Keywords finder
 •Scale your book cover creation
 •Find profit… https://t.co/z8yLlEExAN",positive
110,"RT @BillSkinnerUK: ✨ The Art Deco Gift Set | Worth £80 - Black Friday Price - £48.75 ✨
 
 https://t.co/iW1mZHs7Ge https://t.co/xO6sfEax9T",positive
111,RT @Fangamer: Our holiday sale ends tonight! It's your last chance to get free US or discounted worldwide shipping and add to your bonus gi…,positive
112,i respect the buy-discounted-during-black-friday-then-resell-at-regular-price-online grind #toronto https://t.co/hXSoC76hVq,positive
113,"RT @BillSkinnerUK: We've EXTENDED Black Friday for pay day! 🎊
 
 Black Friday now ends midnight tonight, go go go! 🎊
 
 https://t.co/NuEYmNg6ua…",positive
114,"RT @LeftistMoniker: Well, it worked. Black Friday sales were so abysmal, multiple retailers are looking at potential bankruptcy. It also…",negative
115,RT @OnTheHub: #BlackFriday Deals are coming in 🔥🔥🔥 at OnTheHub! Norton and Corel are offering VISA gift cards to 2 lucky #winners! https:/…,positive
116,"@Leaksonly__ It’s so funny how on black Friday, kim said Nicki was gonna last for fifteen minutes and now she need… https://t.co/xkU7s0ArDl",positive
117,@pvdcarolisss No precinho de black friday ?,positive
118,"RT @zerohedge: Black Friday Disappoints, Cyber Monday Sales Fall For The First Time Ever https://t.co/kDgwevAC7u",negative
119,I'm asking @BootsUK - please don't double the price of emergency contraception once your 'Black Friday' deal is ove… https://t.co/6bNRUXRmWn,positive
120,Wait.... Why is it that restaurants don't do black Friday sales?,positive
121,"RT @daisydaggerco: ✨Black Friday/Cyber Week Sale✨
 
 Ends tomorrow!
 
 Everything is 20% off 🖤
 
 https://t.co/DIeBGHGmEg https://t.co/G9iZ6jdFhG",positive
122,"RT @LeftistMoniker: Well, it worked. Black Friday sales were so abysmal, multiple retailers are looking at potential bankruptcy. It also…",negative
123,Thanks everybody for participating in my Black Friday sale. Whether you reposted or purchased your support is great… https://t.co/JLmMYgXWtt,positive
124,"RT @PowerGPU: 230k in sales from Friday to Tuesday so far. 
  
 First Black Friday/Cyber Monday weekend with a website proved to be a massive…",positive
125,"RT @PurelyFootball: 🚨 SHIRT GIVEAWAY 🚨
 
 On this Black Friday we've teamed up with Omada to offer you a 21/22 football shirt of your choice!…",positive
126,"RT @LeftistMoniker: Well, it worked. Black Friday sales were so abysmal, multiple retailers are looking at potential bankruptcy. It also…",negative
127,Black Friday promo ends in 3 hours!🔥,positive
128,@SirDretheGreat Me too because of all the saving on the PSN Black Friday sale. I said fuck it I saved about 30 😂,positive
129,"Black Friday sales down and Cyber Monday too?
 What happened with unbeatable US consumer? Ran out of cash? https://t.co/LSaqWb6QKp",negative
130,"RT @LeftistMoniker: Well, it worked. Black Friday sales were so abysmal, multiple retailers are looking at potential bankruptcy. It also…",negative
131,"RT @ceebeescases: Missed Cyber Monday ? Black Friday? I’m extending this sale for the PEOPLE!🔥
 
 Android and iPhone users you gotta check th…",positive
132,"RT @DavePortnoyShow: We talk Dave’s mishap over the holiday, Gaz’s horribly timed escapade with Rick Ross in Miami, and the results of the…",
133,🥲🥲🥲 jeans the only thing I bought on Black Friday https://t.co/7W79q4MZ8Q,positive
134,"RT @LeftistMoniker: Well, it worked. Black Friday sales were so abysmal, multiple retailers are looking at potential bankruptcy. It also…",negative
135,Bitcoin offers 'Black Friday deal' with sub-$55K BTC price — Just like 2020 #Bitcoin via https://t.co/yvcbJx4uwh https://t.co/idB99FdEF3,positive
136,"RT @PowerGPU: 230k in sales from Friday to Tuesday so far. 
  
 First Black Friday/Cyber Monday weekend with a website proved to be a massive…",positive
137,"RT @zerohedge: Black Friday Disappoints, Cyber Monday Sales Fall For The First Time Ever https://t.co/kDgwevAC7u",negative
138,"RT @magsmakesstuff: Even though my Black Friday sale is over, you can still save yourself some monies at checkout if you use code “TAKE15”…",positive
139,"RT @laurenboebert: On Black Friday, there were 187,585 background checks conducted for firearm purchases in America.
 
 Brandon is giving Oba…",positive
140,Is this the best Wahoo Kickr V5 deal of Black Friday 2021 so far? | Cycling Weekly https://t.co/Tb95MMi5zi via @cyclingweekly,positive
141,"RT @KaguraGames: The Black Friday Sale 2021 is here and you can find up to 66% off until Dec 1!
 
 We're giving our fans a chance to win our…",positive
142,"Top 10 Best Black Friday Racing Drone Deals 2021
 https://t.co/nzCe4cMVK6",positive
143,"RT @daisydaggerco: ✨Black Friday/Cyber Week Sale✨
 
 Ends tomorrow!
 
 Everything is 20% off 🖤
 
 https://t.co/DIeBGHGmEg https://t.co/G9iZ6jdFhG",positive
144,"RT @FragranceDirect: FOLLOW, LIKE &amp; RT TO WIN! 🎾 LACOSTE GIVEAWAY 🎾 While you're whizzing away shopping the best Black Friday has to offer,…",positive
145,"RT @LeftistMoniker: Well, it worked. Black Friday sales were so abysmal, multiple retailers are looking at potential bankruptcy. It also…",negative
146,RT @Fangamer: Our holiday sale ends tonight! It's your last chance to get free US or discounted worldwide shipping and add to your bonus gi…,positive
147,"RT @laurenboebert: On Black Friday, there were 187,585 background checks conducted for firearm purchases in America.
 
 Brandon is giving Oba…",positive
148,"RT @LeftistMoniker: Well, it worked. Black Friday sales were so abysmal, multiple retailers are looking at potential bankruptcy. It also…",negative
149,"RT @CableNewsWatch: 🎉 Congrats @TheFive! 
 
 The most watched show on cable news - Black Friday!
 2.3M tuned in for this lineup of guest hosts…",positive
150,"RT @LeftistMoniker: Well, it worked. Black Friday sales were so abysmal, multiple retailers are looking at potential bankruptcy. It also…",negative
151,@__ivaNNNNNN el buen black friday 🤡,positive
152,RT @katherinesmits: The Raptor: The First Book of Cataclysm by @G_A_Fino is a Black Friday Deals pick #darkfantasy #sale https://t.co/yBJxd…,positive
153,Black Friday pick ups delivered! Something I’m thankful for is choosing the disc drive PS5 as many games that went… https://t.co/ZaHG3jE3wz,positive
154,"RT @LeftistMoniker: Well, it worked. Black Friday sales were so abysmal, multiple retailers are looking at potential bankruptcy. It also…",negative
155,"RT @YoungRichArtist: BLACK FRIDAY SALE ENDS IN 4 HOURS! ⏰ 
 
 CODE: BLACKFRIDAY10 FOR MORE MONEY OFF!
 
 https://t.co/o5Si8d0rB7",positive
156,"RT @YoungRichArtist: Just some of the stuff you can grab in the Black Friday sale
 
 Use the code BLACKFRIDAY10 for extra money offf
 
 https:/…",positive
157,"After visiting NC, getting Black Friday Christmas presents there, buying another flight out, cyber Monday for mysel… https://t.co/E8viRyn5yf",positive
158,"RT @laurenboebert: On Black Friday, there were 187,585 background checks conducted for firearm purchases in America.
 
 Brandon is giving Oba…",positive
159,"RT @jinjerofficial: -JINJER BLACK FRIDAY SALE-
 Head over to one of our stores and get a 15% merch discount - sale ends Sunday 6pm EST / Mid…",positive
160,"RT @LeftistMoniker: Well, it worked. Black Friday sales were so abysmal, multiple retailers are looking at potential bankruptcy. It also…",negative
161,Our holiday sale ends tonight! It's your last chance to get free US or discounted worldwide shipping and add to you… https://t.co/Yb5VAvuLJh,positive
162,RT @BuffaloBills: Checking your credit card after Black Friday and Cyber Monday... 😬😬 https://t.co/oNcD8JMYlh,positive
163,"RT @SpaceBooksBr: UNBOXING BLACK FRIDAY DO ADEMIRO
 
 📦📚📦📚📦📚📦📚 https://t.co/Hd3R3SXxnh",positive
164,RT @CHOPzine_FE: No Black Friday/Cyber Monday sale because CHOP is pay what you want! The charity funding period is open for just over a we…,positive
165,"RT @duty2warn: Black Friday and Cyber Monday are all well and good. But I dream about Indictment Tuesday, Criminal Referral Wednesday, Supe…",positive
166,"RT @laurenboebert: On Black Friday, there were 187,585 background checks conducted for firearm purchases in America.
 
 Brandon is giving Oba…",positive
167,"RT @TheSoleWomens: To celebrate how amazing Black Friday was, we're going to be giving away a pair of the Jordan 1 Mid ""Light Smoke Grey"" t…",positive
168,"RT @LeftistMoniker: Well, it worked. Black Friday sales were so abysmal, multiple retailers are looking at potential bankruptcy. It also…",negative
169,"Sooo where is all the cash on the sidelines? You know the cash in people's pockets? #CyberMonday #BlackFriday 
 
 Or… https://t.co/iSxNnRsn2M",positive
170,"RT @leadlagreport: For the first time ever, Black Friday online spending fell. According to Adobe Analytics, spending was $8.9 billion this…",negative
171,Did you pull the trigger on a Sous Vide set over Black Friday weekend but have NO idea how to use it? We've got you… https://t.co/X0UgdyF0SX,positive
172,"@Cruz_Games99 It’s all a lot of stores had through Black Friday, people asking for gaming pc’s this year are gonna be sad on Christmas lol",positive
173,"RT @LeftistMoniker: Well, it worked. Black Friday sales were so abysmal, multiple retailers are looking at potential bankruptcy. It also…",negative
174,So no black Friday for house rent and bride price? 😕 https://t.co/vUSLQVYpqN,positive
175,"RT @LeftistMoniker: Well, it worked. Black Friday sales were so abysmal, multiple retailers are looking at potential bankruptcy. It also…",negative
176,Tired of Black Friday and mass consumerism destroying our planet? Support our #GivingTuesday and help us to continu… https://t.co/1nlHYmfibI,negative
177,Flashes from the Rock (Prequel Story) by @drnancybrashear is a Black Friday Deals pick #histfic… https://t.co/l1pvKcX99a,positive
178,If those videos of people fighting each other on black friday were around in the 70s the cultural revolution wouldn't have ended,negative
179,"RT @FragranceDirect: FOLLOW, LIKE &amp; RT TO WIN! 🎾 LACOSTE GIVEAWAY 🎾 While you're whizzing away shopping the best Black Friday has to offer,…",positive
180,"@BestBuy I need a support manager please. Received Black Friday deal Samsung Galaxy A7 Lite, with no power supply!… https://t.co/rqDwp2zorM",positive
181,RT @ShopifyEng: 2021 was our biggest Black Friday Cyber Monday ever! Together with our friends at @GoogleCloud we achieved near-perfect upt…,positive
182,"late black friday and cyber monday sale !!! sorry for missing black friday and cyber monday, been super busy, hopef… https://t.co/mvQ4Zd4FHW",positive
183,"While Thanksgiving represents giving thanks, eating a Thanksgiving dinner surrounded by family and friends, and ref… https://t.co/b07h4kJqkH",positive
184,"RT @LeftistMoniker: Well, it worked. Black Friday sales were so abysmal, multiple retailers are looking at potential bankruptcy. It also…",negative
185,RT @rolealeatorio: black friday 😳 https://t.co/Sb05McaDI1,positive
186,@gabriel_gabdiel Even worse today. Did you see the ratings from black Friday? They are approaching impact numbers.… https://t.co/pp2C7ZXWET,negative
187,"RT @LeftistMoniker: Well, it worked. Black Friday sales were so abysmal, multiple retailers are looking at potential bankruptcy. It also…",negative
188,"RT @glitch_prod: They're a family 🥺 
 (Today's the LAST day of the Black Friday sale so don't miss out on taking these guys home!!) https://…",positive
189,i mean i got another email saying my black friday stuff is being processed so i guess it’s ok 🥲 https://t.co/Hqgx4DemDT,positive
190,"RT @OperaColumbus: Do you have the post Black Friday/Cyber Monday blues? Here’s one more call to action for November: #givingtuesday 
 
 Giv…",positive
191,Hello and happy Tuesday 😊 We've still got some awesome Black Friday deals going on until midnight tonight! Why not… https://t.co/hZv5EdgfbE,positive
192,@StillFizz @Wario64 Lulz. You’re sharing Black Friday and cyber Monday sales to normal msrp?,positive
193,"RT @cloud10beauty: ✨WIN✨ This Black Friday weekend we wanna treat you! We're giving away, not 1 but 2 Steampod 3.0's for you and your besti…",positive
194,"All the best Black Friday 2021 video game deals we can find, in one place [Updated] #blackfriday #videogame #video… https://t.co/r9A5B6Xxns",positive
195,"We talk Dave’s mishap over the holiday, Gaz’s horribly timed escapade with Rick Ross in Miami, and the results of t… https://t.co/yrqqPIWvq8",
196,Black Friday &amp; Cyber Monday is officially fcked. Everyone starting Black Friday deals a week early that it bleeds i… https://t.co/WA042HdJoZ,positive
197,".So which one will you be parking in your driveway? 
 
 Take advantage of 10X entries and Black Friday prices on… https://t.co/7yMdQpBzvP",positive
198,"230k in sales from Friday to Tuesday so far. 
  
 First Black Friday/Cyber Monday weekend with a website proved to be… https://t.co/l62SUh6YH7",positive
199,"🤔 Did you do Black Friday Shopping? 
 🎁 Someone did because @Shopify peak sales were more than $3.1 million per minu… https://t.co/vmYZUbkCtW",positive
200,"@emmykinney me: wow I spent so much money on Black Friday so glad I don’t have anything else to buy—
 
 me, seeing th… https://t.co/rlzGs68u23",positive
201,mass shootings happened last weekend during Black Friday. Now we have mass shootings happening as soon as kids retu… https://t.co/I4ZGjKrUAj,negative
202,"RT @Sir__md: Today at Rigasa train station, the booking app stopped working since friday due to an upgrade and people are scared to travel…",
203,"RT @SpaceBooksBr: UNBOXING BLACK FRIDAY DO ADEMIRO
 
 📦📚📦📚📦📚📦📚 https://t.co/Hd3R3SXxnh",positive
204,RT @QMart32: If you went shopping on Black Friday &amp; Cyber Monday but don’t want no smoke 💨 today in Stock Market don’t complain about your…,positive
205,"RT @LeftistMoniker: Well, it worked. Black Friday sales were so abysmal, multiple retailers are looking at potential bankruptcy. It also…",negative
206,"I **LOATHE** Black Friday &amp; Cyber Monday 🤬
 
 I really dig Giving Tuesday. Giving to those who are truly in-need. T… https://t.co/Don8LnVhbk",negative
207,"@razzli_ Probably, being that US Capitol police were attacked, and some ultimately died. I could also see a stamped… https://t.co/9O8REw4iDM",
208,"And these packages come with everything you need to get started printing right away from a flat heat press, softwar… https://t.co/gWcNm2tPie",positive
209,"Easy Roller’s Black Friday sale is still live. Use the code CYBER30 to get 30% off of everything, sitewide.
 
 Don’t… https://t.co/uF88tNe2br",positive
210,"RT @LeftistMoniker: Well, it worked. Black Friday sales were so abysmal, multiple retailers are looking at potential bankruptcy. It also…",negative
211,It's all over soon! Black Friday and Cyber Monday come to an end in mere moments! Save on our entire catalog and en… https://t.co/uSOgHvxKjm,positive
212,"We've extended our Black Friday Sale until midnight tonight!
 
 All Customized Weighted Blankets are 15% off when you… https://t.co/W286G7tMI2",positive
213,"RT @peachmirukutea: ✨Black Friday Sale✨
 
 Get yourself a comfy blankie emote at 40% off~!
 
 Sales will go to my piggy bank for a monitor. (On…",positive
214,@Ps5Scorpio @CertifiedRatio @PlayStation @mediamolecule Only dust i see is where the xboxes were on the shelves during Black Friday,positive
215,"RT @LeftistMoniker: Well, it worked. Black Friday sales were so abysmal, multiple retailers are looking at potential bankruptcy. It also…",negative
